indicator,indicator_name,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
TRAIN_KM,Объем поездо-километровой работы,Восточно-Сибирская,1.151,0.826,28.24
TRAIN_KM,Объем поездо-километровой работы,Горьковская,1.9067,1.3469,29.36
TRAIN_KM,Объем поездо-километровой работы,Дальневосточная,0.819,0.6528,20.3
TRAIN_KM,Объем поездо-километровой работы,Забайкальская,1.6091,1.039,35.43
TRAIN_KM,Объем поездо-километровой работы,Западно-Сибирская,1.801,1.3428,25.44
TRAIN_KM,Объем поездо-километровой работы,Калининградская,1.2692,0.9768,23.04
TRAIN_KM,Объем поездо-километровой работы,Красноярская,1.2483,0.8998,27.92
TRAIN_KM,Объем поездо-километровой работы,Куйбышевская,1.0499,0.7788,25.82
TRAIN_KM,Объем поездо-километровой работы,Московская,1.2851,0.9963,22.47
TRAIN_KM,Объем поездо-километровой работы,Октябрьская,1.4737,1.4796,-0.4
TRAIN_KM,Объем поездо-километровой работы,Приволжская,1.4534,0.7075,51.32
TRAIN_KM,Объем поездо-километровой работы,Свердловская,1.2362,0.936,24.29
TRAIN_KM,Объем поездо-километровой работы,Северная,1.2666,1.0493,17.16
TRAIN_KM,Объем поездо-километровой работы,Северо-Кавказская,0.9381,1.0506,-11.99
TRAIN_KM,Объем поездо-километровой работы,Юго-Восточная,1.4231,0.7806,45.15
TRAIN_KM,Объем поездо-километровой работы,Южно-Уральская,1.4983,1.212,19.11
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Восточно-Сибирская,6.2611,2.983,52.36
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Горьковская,6.5076,4.154,36.17
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Дальневосточная,5.1276,4.6944,8.45
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Забайкальская,6.0414,3.7361,38.16
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Западно-Сибирская,7.0864,3.9659,44.03
